Time,Max,Mean,Min
00:00,1441.0,1074.9242160278745,780.0
01:00,1419.0,1063.1933797909408,768.0
02:00,1415.0,1058.1576655052265,758.0
03:00,1412.0,1055.908536585366,748.0
04:00,1426.0,1062.415505226481,746.0
05:00,1454.0,1092.9442508710802,775.0
06:00,1525.0,1140.2822299651568,811.0
07:00,1576.0,1183.5557491289198,851.0
08:00,1656.0,1216.4494773519164,895.0
09:00,1701.0,1246.4799651567944,917.0
10:00,1711.0,1264.341463414634,912.0
11:00,1701.0,1266.105400696864,923.0
12:00,1697.0,1261.766550522648,927.0
13:00,1688.0,1251.1663763066201,919.0
14:00,1644.0,1238.7108013937282,907.0
15:00,1659.0,1230.834494773519,898.0
16:00,1673.0,1225.1149825783973,890.0
17:00,1654.0,1215.0783972125435,876.0
18:00,1653.0,1204.3310104529617,864.0
19:00,1650.0,1192.7604529616724,852.0
20:00,1627.0,1172.6167247386759,854.0
21:00,1556.0,1149.0087108013938,846.0
22:00,1514.0,1125.581881533101,815.0
23:00,1498.0,1109.219512195122,790.0
