Timedate,Max,Mean,Min
1.2.10:00,2296.0,1932.8181818181818,1320.0
1.2.11:00,2263.0,1931.5454545454545,1332.0
1.2.12:00,2212.0,1892.090909090909,1324.0
1.2.13:00,2252.0,1890.909090909091,1320.0
1.2.14:00,2206.0,1855.8181818181818,1307.0
1.2.15:00,2178.0,1829.8181818181818,1302.0
1.2.16:00,2046.0,1741.3636363636363,1321.0
1.2.17:00,1994.0,1704.7272727272727,1321.0
1.2.18:00,1904.0,1633.4545454545455,1282.0
1.2.19:00,1848.0,1591.6363636363637,1256.0
1.2.20:00,1769.0,1533.090909090909,1223.0
1.2.21:00,1701.0,1470.2727272727273,1174.0
1.2.22:00,1645.0,1413.0,1133.0
1.2.23:00,1561.0,1360.5454545454545,1125.0
1.3.00:00,1629.0,1328.0,1124.0
1.3.01:00,1626.0,1318.3636363636363,1115.0
1.3.02:00,1614.0,1307.7272727272727,1114.0
1.3.03:00,1597.0,1304.909090909091,1095.0
1.3.04:00,1619.0,1325.2727272727273,1124.0
1.3.05:00,1769.0,1410.6363636363637,1146.0
1.3.06:00,2039.0,1604.8181818181818,1191.0
1.3.07:00,2250.0,1776.090909090909,1213.0
1.3.08:00,2357.0,1846.090909090909,1213.0
1.3.09:00,2330.0,1858.909090909091,1270.0
1.3.10:00,2332.0,1877.909090909091,1309.0
1.3.11:00,2353.0,1873.909090909091,1319.0
1.3.12:00,2301.0,1834.2727272727273,1322.0
1.3.13:00,2318.0,1834.4545454545455,1340.0
1.3.14:00,2279.0,1796.090909090909,1322.0
1.3.15:00,2254.0,1766.3636363636363,1312.0
1.3.16:00,2131.0,1679.909090909091,1302.0
1.3.17:00,2055.0,1632.4545454545455,1287.0
1.3.18:00,2005.0,1602.909090909091,1275.0
1.3.19:00,1981.0,1563.2727272727273,1231.0
1.3.20:00,1908.0,1512.4545454545455,1242.0
1.3.21:00,1800.0,1453.2727272727273,1197.0
1.3.22:00,1703.0,1388.090909090909,1178.0
1.3.23:00,1634.0,1339.4545454545455,1152.0
1.4.00:00,1380.0,1195.8181818181818,1077.0
1.4.01:00,1369.0,1186.8181818181818,1062.0
1.4.02:00,1364.0,1195.090909090909,1058.0
1.4.03:00,1387.0,1214.909090909091,1062.0
1.4.04:00,1480.0,1289.6363636363637,1092.0
1.4.05:00,1718.0,1456.6363636363637,1143.0
1.4.06:00,1958.0,1609.0,1161.0
1.4.07:00,2060.0,1672.3636363636363,1199.0
1.4.08:00,2083.0,1680.2727272727273,1234.0
1.4.09:00,2113.0,1696.090909090909,1276.0
1.4.10:00,2096.0,1687.6363636363637,1265.0
1.4.11:00,2028.0,1649.0,1233.0
1.4.12:00,1962.0,1643.7272727272727,1240.0
1.4.13:00,1922.0,1613.4545454545455,1210.0
1.4.14:00,1884.0,1572.6363636363637,1192.0
1.4.15:00,1734.0,1484.7272727272727,1158.0
1.4.16:00,1669.0,1430.2727272727273,1147.0
1.4.17:00,1594.0,1386.1818181818182,1130.0
1.4.18:00,1573.0,1369.8181818181818,1110.0
1.4.19:00,1564.0,1368.8181818181818,1129.0
1.4.20:00,1494.0,1321.5454545454545,1110.0
1.4.21:00,1408.0,1269.2727272727273,1065.0
1.4.22:00,1357.0,1233.7272727272727,1043.0
1.4.23:00,1305.0,1209.2727272727273,1044.0
1.5.00:00,1152.0,1061.6363636363637,980.0
1.5.01:00,1137.0,1049.2727272727273,945.0
1.5.02:00,1146.0,1047.6363636363637,958.0
1.5.03:00,1160.0,1055.090909090909,959.0
1.5.04:00,1158.0,1061.5454545454545,969.0
1.5.05:00,1203.0,1105.6363636363637,1014.0
1.5.06:00,1260.0,1152.090909090909,1083.0
1.5.07:00,1290.0,1183.7272727272727,1121.0
1.5.08:00,1320.0,1201.2727272727273,1137.0
1.5.09:00,1351.0,1224.2727272727273,1149.0
1.5.10:00,1350.0,1232.3636363636363,1162.0
1.5.11:00,1347.0,1224.909090909091,1148.0
1.5.12:00,1364.0,1219.8181818181818,1134.0
1.5.13:00,1334.0,1198.8181818181818,1103.0
1.5.14:00,1348.0,1190.909090909091,1096.0
1.5.15:00,1363.0,1175.8181818181818,1083.0
1.5.16:00,1352.0,1152.5454545454545,1054.0
1.5.17:00,1332.0,1129.909090909091,1020.0
1.5.18:00,1312.0,1122.8181818181818,1000.0
1.5.19:00,1304.0,1122.7272727272727,982.0
1.5.20:00,1289.0,1139.4545454545455,1018.0
1.5.21:00,1249.0,1121.4545454545455,993.0
1.5.22:00,1246.0,1112.7272727272727,962.0
1.5.23:00,1225.0,1098.4545454545455,935.0
1.6.00:00,1290.0,1110.6363636363637,934.0
1.6.01:00,1265.0,1100.0,928.0
1.6.02:00,1271.0,1104.5454545454545,927.0
1.6.03:00,1266.0,1101.1818181818182,894.0
1.6.04:00,1347.0,1164.7272727272727,922.0
1.6.05:00,1581.0,1343.7272727272727,966.0
1.6.06:00,1831.0,1528.7272727272727,1030.0
1.6.07:00,1945.0,1618.6363636363637,1058.0
1.6.08:00,1946.0,1639.090909090909,1075.0
1.6.09:00,1995.0,1676.909090909091,1133.0
1.6.10:00,1988.0,1679.8181818181818,1158.0
1.6.11:00,1934.0,1646.090909090909,1150.0
1.6.12:00,1939.0,1641.7272727272727,1150.0
1.6.13:00,1894.0,1614.4545454545455,1125.0
1.6.14:00,1849.0,1571.5454545454545,1083.0
1.6.15:00,1712.0,1474.909090909091,1088.0
1.6.16:00,1623.0,1407.4545454545455,1066.0
1.6.17:00,1541.0,1353.8181818181818,1047.0
1.6.18:00,1506.0,1311.6363636363637,1024.0
1.6.19:00,1438.0,1270.5454545454545,995.0
1.6.20:00,1372.0,1230.6363636363637,987.0
1.6.21:00,1354.0,1211.909090909091,983.0
1.6.22:00,1289.0,1163.5454545454545,957.0
1.6.23:00,1229.0,1122.4545454545455,939.0
1.7.00:00,1257.0,1081.3636363636363,989.0
1.7.01:00,1230.0,1069.3636363636363,980.0
1.7.02:00,1235.0,1067.2727272727273,976.0
1.7.03:00,1239.0,1063.8181818181818,954.0
1.7.04:00,1318.0,1118.909090909091,953.0
1.7.05:00,1522.0,1285.8181818181818,975.0
1.7.06:00,1731.0,1468.3636363636363,1043.0
1.7.07:00,1812.0,1546.0,1083.0
1.7.08:00,1838.0,1566.7272727272727,1123.0
1.7.09:00,1885.0,1618.7272727272727,1183.0
1.7.10:00,1851.0,1623.3636363636363,1202.0
1.7.11:00,1798.0,1593.7272727272727,1191.0
1.7.12:00,1817.0,1603.0,1213.0
1.7.13:00,1822.0,1576.2727272727273,1177.0
1.7.14:00,1771.0,1540.3636363636363,1153.0
1.7.15:00,1648.0,1451.7272727272727,1145.0
1.7.16:00,1562.0,1389.2727272727273,1117.0
1.7.17:00,1475.0,1323.5454545454545,1073.0
1.7.18:00,1434.0,1280.909090909091,1056.0
1.7.19:00,1373.0,1236.6363636363637,1034.0
1.7.20:00,1299.0,1194.3636363636363,1007.0
1.7.21:00,1267.0,1178.8181818181818,999.0
1.7.22:00,1232.0,1139.1818181818182,991.0
1.7.23:00,1177.0,1105.5454545454545,965.0
1.8.00:00,1113.0,949.7272727272727,817.0
1.8.01:00,1102.0,937.0909090909091,803.0
1.8.02:00,1098.0,936.8181818181819,798.0
1.8.03:00,1128.0,943.0909090909091,806.0
1.8.04:00,1136.0,964.5454545454545,790.0
1.8.05:00,1310.0,1078.909090909091,806.0
1.8.06:00,1525.0,1219.1818181818182,837.0
1.8.07:00,1612.0,1288.909090909091,872.0
1.8.08:00,1624.0,1315.3636363636363,899.0
1.8.09:00,1646.0,1356.3636363636363,927.0
1.8.10:00,1679.0,1366.909090909091,950.0
1.8.11:00,1668.0,1357.909090909091,957.0
1.8.12:00,1684.0,1371.0,959.0
1.8.13:00,1672.0,1352.3636363636363,960.0
1.8.14:00,1621.0,1328.3636363636363,956.0
1.8.15:00,1546.0,1268.2727272727273,952.0
1.8.16:00,1509.0,1222.8181818181818,943.0
1.8.17:00,1436.0,1170.090909090909,922.0
1.8.18:00,1384.0,1133.7272727272727,910.0
