 ;Timmätt förbr;Timmätt förbr;Timmätt förbr;Timmätt förbr;Ospec.;Ospec.;Ospec.;Ospec.;Avkopplingsb.;Avkopplingsb.;Avkopplingsb.;Avkopplingsb.;Ospec. ;Ospec. ;Ospec. ;Ospec. ;Vattenkraft ;Vattenkraft ;Vattenkraft ;Vattenkraft ;Vindkraft;Vindkraft;Vindkraft;Vindkraft;Kärnkraft;Värmekraft;Värmekraft;Värmekraft;Värmekraft;Gast./diesel;Gast./diesel;Gast./diesel;Gast./diesel;Schablonleverans;Schablonleverans;Schablonleverans;Schablonleverans;Schablonleverans;Schablonleverans;Schablonleverans;Schablonleverans;Solkraft;Solkraft;Solkraft;Solkraft
;exkl. avk.last;exkl. avk.last;exkl. avk.last;exkl. avk.last;förbrukning;förbrukning;förbrukning;förbrukning;last;last;last;last;produktion;produktion;produktion;produktion;produktion;produktion;produktion;produktion;produktion;produktion;produktion;produktion;produktion;produktion;produktion;produktion;produktion;produktion;produktion;produktion;produktion;förbrukning;förbrukning;förbrukning;förbrukning;förluster;förluster;förluster;förluster;produktion;produktion;produktion;produktion
 2017;SE1;SE2;SE3;SE4;SE1;SE2;SE3;SE4;SE1;SE2;SE3;SE4;SE1;SE2;SE3;SE4;SE1;SE2;SE3;SE4;SE1;SE2;SE3;SE4;SE3;SE1;SE2;SE3;SE4;SE1;SE2;SE3;SE4;SE1;SE2;SE3;SE4;SE1;SE2;SE3;SE4;SE1;SE2;SE3;SE4
;MWh;MWh;MWh;MWh;MWh;MWh;MWh;MWh;MWh;MWh;MWh;MWh;MWh;MWh;MWh;MWh;MWh;MWh;MWh;MWh;MWh;MWh;MWh;MWh;MWh;MWh;MWh;MWh;MWh;MWh;MWh;MWh;MWh;MWh;MWh;MWh;MWh;MWh;MWh;MWh;MWh;MWh;MWh;MWh;MWh
;;;;;;;;;;;;;;;;;;;;;;;;  ;;;;;;;;;;;;;;;;;;;;;
1.1.2017 0:00;-757;-1 052;-4 200;-940;-2.71;-0.25;-29.10;0.00;-1.90;-1.54;-47.52;-1.55;0.92;0.00;0.00;0.00;623;994;720;79;264.4;880;1268;1226;9074;36.9;103.4;770;216;0.00;0.03;0.56;0.27;-286;-581;-3 408;-1 231;-25.7;-44.8;-266.1;-89.4;0.000;0.017;0.007;0.012
1.1.2017 1:00;-752;-1 058;-4 175;-882;-2.66;-0.19;-28.60;0.00;-1.85;-1.56;-48.33;-1.84;1.11;0.00;0.00;0.00;592;1010;702;77;199.5;832;1177;1221;9075;38.1;111.1;773;154;0.00;0.02;0.57;0.25;-282;-566;-3 287;-1 177;-25.4;-43.6;-256.6;-85.6;0.000;0.019;0.008;0.008
1.1.2017 2:00;-754;-1 068;-4 112;-906;-2.59;-0.28;-28.04;0.00;-2.00;-1.52;-46.37;-1.99;1.02;0.00;0.00;0.00;552;1064;678;61;187.8;786;1088;1228;9075;41.2;112.1;796;146;0.00;0.03;0.57;0.25;-278;-548;-3 152;-1 137;-25.0;-42.2;-246.0;-82.5;0.000;0.009;0.007;0.011
1.1.2017 3:00;-754;-1 057;-4 135;-905;-2.75;-0.18;-28.09;0.00;-2.12;-1.73;-45.14;-1.86;1.00;0.00;0.00;0.00;609;930;667;61;157.1;672;983;1241;9077;41.4;112.5;813;175;0.00;0.02;0.58;0.22;-273;-538;-3 040;-1 090;-24.6;-41.4;-237.3;-79.1;0.000;0.005;0.005;0.010
1.1.2017 4:00;-766;-1 066;-4 140;-911;-2.97;-0.15;-28.49;0.00;-1.90;-2.32;-45.92;-2.00;0.87;0.00;0.00;0.00;618;951;680;62;132.8;570;996;1233;9078;41.3;112.7;826;178;0.00;0.03;0.55;0.22;-274;-538;-3 004;-1 068;-24.7;-41.4;-234.5;-77.5;0.000;0.003;0.006;0.009
1.1.2017 5:00;-767;-1 084;-4 156;-916;-3.11;-0.25;-29.46;0.00;-1.89;-2.79;-54.01;-2.04;0.69;0.00;0.00;0.00;606;986;668;67;111.5;509;969;1198;9080;42.5;115.8;832;179;0.00;0.03;0.45;0.19;-278;-547;-3 031;-1 067;-24.9;-42.1;-236.6;-77.4;0.000;0.003;0.007;0.008
