 ;Timmätt förbr;Timmätt förbr;Timmätt förbr;Timmätt förbr;Ospec.;Ospec.;Ospec.;Ospec.;Avkopplingsb.;Avkopplingsb.;Avkopplingsb.;Avkopplingsb.;Ospec. ;Ospec. ;Ospec. ;Ospec. ;Vattenkraft ;Vattenkraft ;Vattenkraft ;Vattenkraft ;Vindkraft;Vindkraft;Vindkraft;Vindkraft;Kärnkraft;Värmekraft;Värmekraft;Värmekraft;Värmekraft;Gast./diesel;Gast./diesel;Gast./diesel;Gast./diesel;Schablonleverans;Schablonleverans;Schablonleverans;Schablonleverans;Schablonleverans;Schablonleverans;Schablonleverans;Schablonleverans;Solkraft;Solkraft;Solkraft;Solkraft
1.1.2017 6:00;-763;-1 092;-4 225;-924;-3.05;-0.19;-30.40;0.00;-2.02;-3.10;-86.05;-1.98;0.00;0.00;0.00;0.00;730;1075;680;72;149.5;443;956;1113;9083;42.8;116.3;852;185;0.00;0.01;0.43;0.19;-284;-560;-3 106;-1 083;-25.4;-43.1;-242.3;-78.6;0.000;0.002;0.007;0.010
1.1.2017 7:00;-756;-1 086;-4 322;-973;-2.99;-0.18;-29.85;0.00;-2.09;-3.51;-90.36;-1.69;0.67;0.00;0.00;0.00;838;1157;643;89;171.6;470;939;1031;9083;41.4;120.9;849;172;0.00;0.02;0.40;0.15;-288;-574;-3 209;-1 107;-25.8;-44.1;-250.4;-80.4;0.000;0.004;0.009;0.011
1.1.2017 8:00;-779;-1 105;-4 415;-989;-3.06;-0.28;-30.54;0.00;-1.93;-3.77;-92.72;-1.93;0.61;0.00;0.00;0.01;848;1258;663;92;163.9;516;921;952;9083;46.0;127.3;833;160;0.00;0.01;0.38;0.16;-297;-594;-3 347;-1 135;-26.6;-45.7;-261.1;-82.4;0.000;0.005;0.011;0.010
1.1.2017 9:00;-781;-1 114;-4 459;-985;-3.08;-0.18;-30.17;0.00;-2.00;-3.23;-90.86;-2.15;0.10;0.00;0.00;0.01;908;1621;680;92;179.5;489;850;873;9085;43.7;128.0;846;178;0.06;0.01;0.39;0.17;-301;-610;-3 531;-1 184;-27.0;-47.0;-275.4;-85.9;0.000;0.003;0.077;0.026
1.1.2017 10:00;-778;-1 124;-4 579;-1 009;-3.14;-0.34;-29.86;0.00;-2.15;-3.39;-89.39;-1.96;0.00;0.00;0.00;0.01;1007;1777;686;92;219.2;454;796;774;9086;53.1;131.2;844;185;0.35;0.02;0.44;0.22;-313;-638;-3 812;-1 277;-28.0;-49.1;-297.3;-92.8;0.000;0.010;0.806;0.087
1.1.2017 11:00;-783;-1 134;-4 691;-1 010;-3.07;-0.41;-30.19;0.00;-4.15;-3.41;-87.73;-1.76;0.00;0.00;0.00;0.00;1071;1917;676;95;223.3;498;723;636;9083;49.8;136.9;851;183;0.33;0.01;0.47;0.16;-324;-657;-4 007;-1 351;-29.0;-50.5;-312.5;-98.3;0.001;0.016;2.284;0.162
1.1.2017 12:00;-817;-1 131;-4 738;-1 022;-3.09;-0.40;-30.69;0.00;-2.34;-3.73;-87.35;-2.05;0.00;0.00;0.00;0.00;1116;2151;726;103;211.8;659;630;467;9085;45.3;136.8;847;189;0.34;0.01;0.49;0.27;-329;-664;-4 107;-1 385;-29.5;-51.1;-320.2;-100.9;0.000;0.016;2.352;0.208
1.1.2017 13:00;-814;-1 141;-4 829;-1 045;-3.09;-0.63;-30.67;0.00;-2.10;-3.41;-93.07;-2.15;0.00;0.00;0.00;0.00;1138;2214;720;108;218.7;740;630;424;9085;51.8;135.2;850;196;0.33;0.00;0.48;0.27;-334;-670;-4 163;-1 392;-30.0;-51.5;-324.6;-101.4;0.000;0.015;1.599;0.180
1.1.2017 14:00;-814;-1 154;-4 919;-1 042;-3.05;-0.44;-31.08;0.00;-2.17;-2.95;-90.14;-2.05;0.00;0.00;0.00;0.00;1130;2403;711;111;212.9;761;688;415;9085;45.6;137.2;854;210;0.33;0.00;0.44;0.21;-349;-690;-4 303;-1 410;-31.3;-53.0;-335.3;-102.8;0.000;0.014;0.329;0.087
1.1.2017 15:00;-817;-1 162;-5 049;-1 064;-2.97;-0.41;-31.23;0.00;-1.98;-4.10;-90.88;-2.06;0.00;0.00;0.00;0.00;1304;2710;712;114;193.6;795;756;362;9084;48.5;138.5;842;214;0.34;0.00;0.44;0.17;-360;-738;-4 665;-1 477;-32.2;-56.8;-363.5;-107.7;0.000;0.009;0.027;0.011
1.1.2017 16:00;-818;-1 151;-5 155;-1 104;-3.02;-0.52;-32.19;0.00;-1.99;-4.81;-93.62;-1.64;0.00;0.00;0.00;0.00;1531;2818;731;138;171.9;923;839;354;9082;45.8;141.0;879;217;0.32;0.01;0.39;0.27;-367;-769;-5 015;-1 619;-32.8;-59.2;-390.4;-118.1;0.000;0.010;0.009;0.012
1.1.2017 17:00;-833;-1 146;-5 158;-1 106;-3.09;-0.44;-32.99;0.00;-2.13;-5.36;-97.77;-1.47;0.00;0.00;0.00;0.00;1566;2970;845;140;130.4;1028;923;345;9082;50.5;141.3;884;221;0.33;0.00;0.39;0.25;-365;-771;-5 146;-1 673;-32.7;-59.4;-400.4;-122.2;0.000;0.012;0.008;0.009
1.1.2017 18:00;-823;-1 153;-5 124;-1 087;-3.03;-0.55;-34.30;0.00;-2.17;-5.54;-54.18;-1.52;0.00;0.00;0.00;0.00;1570;2983;843;138;106.6;1139;1014;399;9083;51.0;138.6;877;226;0.13;0.02;0.41;0.24;-360;-758;-5 165;-1 675;-32.2;-58.4;-401.8;-122.2;0.000;0.017;0.009;0.011
1.1.2017 19:00;-812;-1 167;-5 076;-1 095;-2.79;-0.45;-33.62;0.00;-2.00;-5.26;-46.07;-1.43;0.00;0.00;0.00;0.00;1516;3038;843;136;92.0;1105;1056;427;9082;48.4;139.1;873;227;0.33;0.02;0.43;0.27;-355;-739;-5 058;-1 636;-31.7;-56.9;-393.4;-119.3;0.000;0.012;0.008;0.010
1.1.2017 20:00;-812;-1 152;-5 044;-1 086;-2.82;-0.46;-33.55;0.00;-2.04;-5.18;-62.29;-1.72;0.00;0.00;0.00;0.00;1099;3029;730;134;137.0;1040;1116;454;9082;50.3;139.9;872;229;0.33;0.02;0.48;0.30;-345;-717;-4 860;-1 574;-30.9;-55.2;-378.0;-114.8;0.000;0.009;0.009;0.007
1.1.2017 21:00;-811;-1 138;-4 981;-1 060;-2.80;-0.52;-33.11;0.00;-2.17;-4.88;-77.89;-1.62;0.00;0.00;0.00;0.00;1061;2818;691;125;143.1;1061;1074;457;9083;49.3;140.7;866;230;0.34;0.02;0.50;0.30;-332;-691;-4 626;-1 505;-29.8;-53.2;-359.7;-109.6;0.000;0.006;0.008;0.010
1.1.2017 22:00;-804;-1 125;-4 894;-1 053;-2.89;-0.44;-59.96;0.00;-1.99;-3.18;-80.94;-1.47;0.00;0.00;0.00;0.00;1009;2222;684;98;98.4;1082;1017;417;9081;52.4;141.3;858;219;0.33;0.02;0.47;0.27;-318;-660;-4 341;-1 425;-28.4;-50.8;-337.2;-103.7;0.000;0.008;0.007;0.007
1.1.2017 23:00;-792;-1 109;-4 865;-1 051;-2.77;-0.42;-69.81;0.00;-1.96;-2.63;-84.88;-1.41;0.00;0.00;0.00;0.00;833;1734;678;85;101.7;955;1078;411;9082;53.9;142.9;854;216;0.34;0.03;0.47;0.23;-300;-623;-4 046;-1 338;-26.8;-48.0;-314.2;-97.3;0.000;0.012;0.007;0.007
2.1.2017 0:00;-780;-1 113;-4 802;-1 028;-2.71;-0.47;-38.34;0.00;-2.13;-2.60;-91.59;-1.67;0.00;0.00;0.00;0.00;665;1392;632;84;111.0;896;1142;436;9080;55.3;142.9;871;232;0.32;0.01;0.36;0.25;-289;-598;-3 846;-1 291;-25.9;-46.1;-298.4;-93.8;0.000;0.014;0.005;0.007
2.1.2017 1:00;-773;-1 087;-4 818;-1 015;-2.70;-0.47;-74.38;0.00;-2.15;-3.07;-91.20;-1.42;0.22;0.00;0.00;0.00;688;1342;640;77;101.8;851;1067;496;9080;51.1;147.3;880;234;0.34;0.02;0.35;0.26;-284;-586;-3 750;-1 270;-25.4;-45.2;-290.9;-92.2;0.000;0.013;0.001;0.006
2.1.2017 2:00;-784;-1 091;-4 823;-1 043;-2.68;-0.29;-71.52;0.00;-2.03;-2.80;-89.62;-1.23;0.00;0.00;0.00;0.00;721;1431;672;68;105.7;760;1062;544;9083;49.8;145.8;896;243;0.35;0.03;0.36;0.27;-283;-586;-3 743;-1 273;-25.3;-45.2;-290.2;-92.4;0.000;0.010;0.001;0.009
2.1.2017 3:00;-784;-1 096;-4 864;-1 052;-2.96;-0.35;-60.87;0.00;-2.06;-3.12;-86.92;-1.67;0.04;0.00;0.00;0.00;726;1435;671;66;120.9;781;1062;531;9082;52.6;147.8;923;243;0.35;0.02;0.35;0.24;-287;-593;-3 779;-1 289;-25.7;-45.8;-292.8;-93.5;0.000;0.004;0.001;0.006
2.1.2017 4:00;-801;-1 104;-4 954;-1 092;-3.03;-0.48;-38.02;0.00;-2.19;-3.55;-83.17;-1.87;0.00;0.00;0.00;0.00;730;1403;658;67;105.4;882;1087;512;9079;53.2;147.8;947;238;0.34;0.03;0.35;0.22;-296;-610;-3 877;-1 319;-26.5;-47.1;-300.3;-95.6;0.000;0.005;0.001;0.005
2.1.2017 5:00;-813;-1 147;-5 265;-1 208;-3.00;-0.51;-41.15;0.00;-4.12;-3.24;-83.31;-1.73;0.00;0.00;0.00;0.00;840;1793;701;68;79.9;878;1063;522;9080;51.5;155.5;974;239;0.32;0.03;0.33;0.19;-308;-638;-4 066;-1 379;-27.6;-49.3;-314.9;-99.9;0.000;0.004;0.002;0.008
2.1.2017 6:00;-854;-1 235;-6 006;-1 434;-3.04;-0.44;-56.92;0.00;-3.19;-3.82;-89.35;-1.76;0.00;0.00;0.00;0.00;1833;3035;862;89;70.1;813;1070;496;9081;49.0;160.9;994;235;0.33;0.01;0.32;0.20;-320;-670;-4 353;-1 488;-28.6;-51.8;-337.2;-107.9;0.000;0.000;0.003;0.010
2.1.2017 7:00;-905;-1 302;-6 717;-1 700;-3.16;-0.43;-81.81;0.00;-2.21;-5.01;-91.97;-1.22;0.00;0.00;0.00;0.06;2811;4247;943;98;80.4;744;965;517;9080;48.5;164.9;993;233;0.33;0.01;0.29;0.11;-328;-693;-4 599;-1 587;-29.4;-53.6;-356.5;-115.3;0.000;0.000;0.005;0.008
2.1.2017 8:00;-932;-1 339;-6 915;-1 770;-3.17;-0.57;-92.01;0.00;-2.27;-6.48;-96.08;-0.92;0.00;0.00;0.00;0.11;3108;4860;1021;137;64.4;653;929;516;9080;43.5;167.1;1018;238;0.32;0.01;0.29;0.14;-337;-715;-4 757;-1 644;-30.2;-55.3;-369.0;-119.4;0.000;0.000;0.013;0.020
2.1.2017 9:00;-923;-1 348;-6 950;-1 805;-3.09;-0.45;-78.15;0.00;-2.26;-5.23;-99.30;-0.90;0.00;0.00;0.00;0.21;3239;5026;1009;147;57.6;641;878;450;9080;45.9;163.4;1043;267;0.37;0.01;0.30;0.14;-339;-721;-4 855;-1 668;-30.4;-55.8;-377.0;-121.3;0.000;0.000;0.290;0.516
2.1.2017 10:00;-908;-1 348;-7 110;-1 837;-2.95;-0.66;-78.45;0.00;-2.07;-4.48;-99.79;-1.09;0.00;0.00;0.00;0.29;3372;5442;1092;149;54.8;628;795;365;9067;49.5;161.3;1058;274;0.44;0.02;0.29;0.23;-344;-729;-4 922;-1 666;-30.9;-56.5;-382.6;-121.2;0.000;0.006;2.357;2.102
2.1.2017 11:00;-914;-1 370;-7 117;-1 840;-3.07;-0.48;-70.19;0.00;-2.18;-4.92;-93.72;-1.38;0.00;0.00;0.00;0.17;3316;5500;1131;150;59.7;623;720;352;9078;47.7;160.1;1032;266;0.42;0.01;3.70;0.26;-349;-730;-4 882;-1 638;-31.3;-56.4;-379.9;-119.3;0.000;0.011;4.673;3.570
2.1.2017 12:00;-941;-1 354;-7 151;-1 789;-3.19;-0.47;-60.52;0.00;-2.36;-5.76;-97.04;-1.35;0.00;0.00;0.00;0.14;3191;5416;1113;150;73.0;600;688;349;9079;40.3;163.5;1012;266;0.42;0.01;8.73;0.31;-351;-725;-4 834;-1 603;-31.5;-56.1;-376.5;-116.7;0.000;0.015;4.964;3.899
2.1.2017 13:00;-961;-1 348;-7 133;-1 830;-3.25;-0.58;-85.89;0.00;-2.58;-5.45;-102.02;-0.98;0.00;0.00;0.00;0.07;3243;5385;1124;151;69.6;637;651;334;9078;38.8;159.9;988;263;0.17;0.01;3.57;0.27;-349;-722;-4 783;-1 570;-31.2;-55.9;-372.7;-114.4;0.000;0.007;3.386;2.788
2.1.2017 14:00;-956;-1 365;-7 118;-1 836;-3.07;-0.47;-88.78;0.00;-5.90;-5.50;-91.95;-1.36;0.00;0.00;0.00;0.07;3324;5573;1132;161;65.1;638;637;334;9077;39.2;158.5;999;276;0.46;0.00;9.64;0.29;-362;-739;-4 838;-1 572;-32.5;-57.2;-376.9;-114.5;0.000;0.000;0.997;0.992
2.1.2017 15:00;-963;-1 378;-7 205;-1 873;-2.99;-0.55;-77.96;0.00;-7.88;-8.22;-90.76;-1.30;0.00;0.00;0.00;0.13;3513;5660;1214;179;69.1;632;698;326;9075;40.2;162.5;1039;282;0.46;0.00;0.26;0.22;-377;-794;-5 163;-1 670;-33.9;-61.4;-402.1;-121.7;0.000;0.000;0.058;0.056
2.1.2017 16:00;-936;-1 340;-7 022;-1 813;-3.21;-0.53;-68.70;0.00;-8.68;-10.36;-95.18;-1.66;0.00;0.00;0.00;0.25;3846;5763;1231;182;67.6;600;737;368;9075;39.6;165.7;1066;283;0.47;0.01;0.25;0.30;-392;-842;-5 603;-1 888;-35.3;-65.1;-436.0;-137.6;0.000;0.001;0.007;0.008
2.1.2017 17:00;-940;-1 333;-6 845;-1 737;-3.28;-0.51;-44.73;0.00;-8.52;-11.16;-93.99;-1.63;0.00;0.00;0.00;0.24;3815;5852;1282;180;55.2;625;799;382;9078;39.9;169.0;1063;288;0.46;0.01;0.25;0.29;-397;-860;-5 892;-2 015;-35.7;-66.4;-458.5;-146.8;0.000;0.008;0.007;0.012
2.1.2017 18:00;-920;-1 332;-6 560;-1 663;-3.28;-0.52;-56.46;0.00;-8.63;-11.53;-92.34;-1.73;0.00;0.00;0.00;0.17;3669;5815;1227;178;41.0;589;797;372;9079;41.0;169.0;1059;285;0.45;0.02;0.30;0.32;-391;-849;-5 943;-2 027;-35.2;-65.6;-462.1;-147.6;0.000;0.007;0.007;0.015
2.1.2017 19:00;-908;-1 354;-6 417;-1 597;-3.21;-0.61;-86.69;0.00;-8.50;-11.99;-89.62;-1.43;0.00;0.00;0.00;0.17;3486;5637;1191;171;33.0;520;763;361;9077;40.3;167.2;1056;280;0.46;0.03;0.29;0.33;-385;-832;-5 858;-1 985;-34.8;-64.2;-455.2;-144.5;0.000;0.009;0.006;0.007
2.1.2017 20:00;-906;-1 330;-6 252;-1 542;-3.24;-0.50;-84.22;0.00;-8.58;-11.39;-89.41;-1.38;0.00;0.00;0.00;0.15;3268;5212;1149;147;37.1;445;685;350;9070;40.4;170.2;1050;275;0.45;0.01;0.28;0.35;-377;-814;-5 679;-1 923;-34.1;-62.8;-441.0;-139.9;0.000;0.016;0.008;0.008
2.1.2017 21:00;-893;-1 306;-6 107;-1 476;-3.28;-0.54;-85.32;0.00;-8.57;-10.25;-102.14;-1.83;0.00;0.00;0.00;0.17;2630;4661;1001;114;29.5;402;624;346;9074;40.3;165.0;1046;269;0.14;0.03;0.30;0.29;-368;-791;-5 465;-1 845;-33.2;-61.0;-424.0;-134.0;0.000;0.017;0.008;0.007
2.1.2017 22:00;-871;-1 285;-5 935;-1 426;-3.34;-0.35;-69.47;0.00;-8.64;-6.89;-99.07;-1.59;0.00;0.00;0.00;0.18;2007;3940;908;103;16.3;332;511;317;9072;41.8;159.2;1034;268;0.42;0.02;0.40;0.30;-355;-760;-5 165;-1 745;-32.1;-58.6;-400.4;-126.6;0.000;0.007;0.006;0.012
2.1.2017 23:00;-860;-1 249;-5 691;-1 391;-3.29;-0.42;-82.87;0.00;-8.64;-5.31;-90.57;-1.69;0.00;0.00;0.01;0.19;1507;2837;749;94;12.2;271;457;306;9072;40.3;162.5;1029;265;0.44;0.02;0.42;0.30;-339;-722;-4 842;-1 646;-30.7;-55.7;-374.9;-119.2;0.000;0.008;0.004;0.008
3.1.2017 0:00;-867;-1 230;-5 601;-1 354;-3.26;-0.40;-70.58;0.00;-8.67;-5.71;-92.33;-1.45;0.00;0.00;0.00;0.17;1394;2150;689;85;12.3;197;337;353;9076;36.6;161.1;1005;266;0.44;0.04;0.49;0.29;-329;-692;-4 608;-1 584;-29.8;-53.4;-356.4;-114.6;0.000;0.014;0.004;0.009
3.1.2017 1:00;-853;-1 242;-5 491;-1 320;-3.30;-0.55;-42.47;0.00;-8.78;-5.99;-92.25;-1.59;0.00;0.00;0.00;0.18;1291;1949;643;77;11.7;162;320;318;9075;37.7;160.6;1000;257;0.41;0.03;0.50;0.29;-325;-682;-4 492;-1 553;-29.5;-52.7;-347.3;-112.3;0.000;0.011;0.005;0.009
3.1.2017 2:00;-855;-1 227;-5 466;-1 323;-3.10;-0.48;-41.58;0.00;-8.88;-6.27;-97.31;-1.11;0.00;0.00;0.00;0.18;1278;1830;634;77;13.3;118;318;319;9076;37.6;165.1;986;254;0.41;0.02;0.53;0.30;-327;-684;-4 468;-1 534;-29.6;-52.8;-345.4;-110.9;0.000;0.004;0.005;0.010
3.1.2017 3:00;-845;-1 225;-5 458;-1 322;-3.02;-0.31;-41.18;0.00;-8.81;-6.37;-93.66;-1.29;0.00;0.00;0.00;0.18;1305;1727;611;80;13.4;91;317;365;9070;39.3;166.6;977;255;0.42;0.04;0.48;0.27;-332;-695;-4 476;-1 530;-30.1;-53.7;-346.0;-110.6;0.000;0.002;0.004;0.010
3.1.2017 4:00;-831;-1 231;-5 458;-1 348;-3.03;-0.20;-67.97;0.00;-8.83;-6.43;-95.40;-1.82;0.00;0.00;0.00;0.17;1390;1970;638;80;18.9;106;398;340;9066;39.4;167.6;970;257;0.42;0.03;0.43;0.26;-339;-717;-4 551;-1 531;-30.7;-55.3;-351.8;-110.7;0.000;0.000;0.004;0.012
3.1.2017 5:00;-849;-1 253;-5 781;-1 441;-3.08;-0.34;-84.07;-0.04;-8.74;-6.17;-96.74;-1.76;0.00;0.00;0.00;0.18;1859;2787;729;83;26.9;161;487;347;9071;39.5;168.5;993;256;0.38;0.02;0.38;0.22;-352;-754;-4 754;-1 561;-31.8;-58.1;-367.6;-112.8;0.000;0.000;0.005;0.009
3.1.2017 6:00;-912;-1 278;-6 461;-1 674;-3.08;-0.22;-83.72;-0.06;-8.75;-5.70;-104.35;-1.81;0.00;0.00;0.00;0.17;2572;4002;844;101;33.6;242;540;385;9074;40.7;172.8;1025;254;0.00;0.03;0.34;0.23;-364;-789;-5 069;-1 646;-32.8;-60.8;-392.2;-119.0;0.000;0.002;0.006;0.011
3.1.2017 7:00;-939;-1 357;-7 206;-1 908;-3.07;-0.21;-82.15;0.00;-8.90;-6.06;-104.93;-1.53;0.00;0.00;0.00;0.15;3401;5406;1015;157;24.4;402;590;407;9076;40.7;174.1;1034;253;0.38;0.01;0.27;0.15;-371;-812;-5 330;-1 729;-33.5;-62.6;-412.8;-125.2;0.000;0.000;0.008;0.008
3.1.2017 8:00;-940;-1 367;-7 466;-1 990;-3.22;-0.38;-91.97;0.00;-9.27;-5.28;-104.24;-1.56;0.00;0.00;0.00;0.14;3728;5839;1128;181;27.1;599;601;385;9076;40.5;169.5;1034;262;0.43;0.01;0.24;0.17;-378;-831;-5 461;-1 749;-34.1;-64.0;-423.3;-126.9;0.000;0.000;0.009;0.018
3.1.2017 9:00;-938;-1 367;-7 428;-1 975;-3.12;-0.27;-85.97;0.00;-9.65;-5.70;-104.53;-1.31;0.00;0.00;0.00;0.22;3532;5891;1121;187;28.4;787;652;469;9075;39.9;171.7;1030;263;0.42;0.01;0.29;0.16;-380;-835;-5 473;-1 734;-34.4;-64.4;-424.6;-125.8;0.000;0.001;0.119;0.078
3.1.2017 10:00;-923;-1 349;-7 545;-1 995;-3.07;-0.38;-114.53;0.00;-9.62;-6.31;-106.86;-1.46;0.00;0.00;0.00;0.15;3262;5945;1118;187;51.0;822;760;477;9079;40.4;169.6;984;258;0.42;0.01;8.36;0.19;-383;-840;-5 456;-1 731;-34.6;-64.8;-423.7;-125.8;0.000;0.000;0.431;0.104
3.1.2017 11:00;-928;-1 355;-7 516;-1 986;-3.18;-0.42;-103.02;0.00;-9.60;-6.31;-105.14;-1.15;0.00;0.00;0.00;0.21;3184;5835;950;185;67.1;781;869;519;9082;40.4;176.5;963;248;0.42;0.01;8.65;0.23;-386;-835;-5 383;-1 732;-34.8;-64.4;-418.3;-126.0;0.000;0.001;0.880;0.203
3.1.2017 12:00;-920;-1 326;-7 473;-1 948;-2.89;-0.50;-85.68;0.00;-9.29;-7.08;-107.13;-1.64;0.00;0.00;0.00;0.19;3039;5480;913;173;62.3;826;928;509;9083;39.1;180.4;908;241;0.42;0.01;0.75;0.27;-388;-827;-5 323;-1 714;-35.0;-63.7;-413.9;-124.7;0.000;0.002;0.996;0.341
3.1.2017 13:00;-955;-1 352;-7 439;-1 979;-3.05;-0.48;-104.00;0.00;-9.25;-7.64;-111.99;-1.41;0.00;0.00;0.00;0.12;2966;5287;900;159;72.7;960;1046;543;9082;40.6;172.1;910;224;0.43;0.00;3.34;0.24;-388;-819;-5 236;-1 690;-34.9;-63.1;-407.3;-123.1;0.000;0.001;0.493;0.233
3.1.2017 14:00;-964;-1 365;-7 473;-1 930;-3.21;-0.48;-83.74;0.00;-9.09;-7.17;-109.08;-1.18;0.00;0.00;0.00;0.13;2943;5243;899;148;71.4;964;1047;674;9083;40.7;166.5;950;223;0.42;0.00;8.81;0.25;-398;-826;-5 232;-1 679;-35.9;-63.7;-407.1;-122.4;0.000;0.004;0.055;0.052
3.1.2017 15:00;-956;-1 362;-7 473;-1 940;-3.26;-0.44;-83.21;0.00;-8.91;-7.60;-113.41;-1.13;0.00;0.00;0.00;0.21;3000;5474;887;141;96.3;1007;1249;887;9082;40.8;167.2;952;222;0.41;0.00;0.29;0.20;-408;-862;-5 431;-1 732;-36.8;-66.4;-423.1;-126.3;0.000;0.002;0.011;0.011
3.1.2017 16:00;-932;-1 314;-7 164;-1 829;-3.21;-0.47;-103.92;0.00;-9.09;-6.86;-111.76;-1.68;0.00;0.00;0.00;0.20;3015;5484;896;115;118.6;1060;1262;1140;9082;40.6;168.9;947;227;0.05;0.00;0.27;0.28;-422;-893;-5 669;-1 839;-38.0;-68.8;-441.8;-134.1;0.000;0.003;0.011;0.013
3.1.2017 17:00;-935;-1 269;-6 903;-1 731;-3.28;-0.48;-96.78;0.00;-8.79;-6.84;-107.40;-1.35;0.00;0.00;0.00;0.19;2991;5237;927;110;158.7;1057;1238;1228;9089;40.3;162.4;946;234;0.00;0.01;0.29;0.30;-424;-898;-5 846;-1 891;-38.2;-69.1;-455.7;-137.9;0.000;0.014;0.013;0.015
3.1.2017 18:00;-903;-1 255;-6 732;-1 639;-3.20;-0.43;-99.52;0.00;-8.74;-7.14;-102.36;-1.67;0.00;0.00;0.00;0.17;2635;4592;901;103;196.3;1075;1338;1328;9104;40.1;156.5;938;245;0.00;0.02;0.34;0.31;-416;-870;-5 807;-1 852;-37.5;-67.0;-452.6;-135.1;0.000;0.015;0.016;0.014
